YolcuSayisi,YolcuSeferleri,ArzedilenKoltuk(Milyon),UcretliYolcu(Milyon),YolcuDoluluk,UcakSayisi,UcakTrafigi,TicariUcakTrafigi,TicariSeferBasinaYolcu,KoltukKapasitesi,UculanKm(000),UculanSaat,KargoPostaBagaj(Ton),YolcuGeliri(Milyon $),KargoGeliri(Milyon $),NetKar(Milyon $),AkaryakitVarilFiyati($),AkaryakitTuketimi(Bin Ton),AkaryakitGideri($),TurkiyeNufus,GSYH,DogurganlikHizi,Yil

149430421,369572,116423,92003,79.4,385,1223795,1059391,141,42236,678714,1122498,2595317,5660,600,357,108,3260,3493,76667864,12508,2.16,2013
165720234,413492,135330,106787,80.4,422,1345954,1159837,143,76297,704354,1156163,2893000,9858,973,845,115,3801,3806,77695904,12020,2.2,2014
181074531,452982,153209,119372,80.4,489,1456673,1254615,144,90259,777161,1289771,3072830,9368,935,1069,67,4272,2997,78741053,10852,2.19,2015
173738174,464247,170092,126815,80.3,540,1452995,1234635,141,100365,825561,1361646,3076914,8590,996,-77,42,4693,2673,79814871,10734,2.18,2016
193610502,469552,173073,136947,81.2,517,1500457,1272341,152,97500,826048,1360643,3481211,9403,1317,223,51,4847,2866,80810525,10464,2.14,2017
210947639,493876,182031,149169,81.90,332,1544169,1339301,157,97351,866630,1431970,3855231,10918,1647,753,71,5278,3768,82003382,9693,1.99,2018
208911338,486941,187717,153203,81.60,350,1556417,1308970,159,103763,926224,1491428,4090168,11167,1688,788,64,5525,3873,83154997,9213,1.88,2019
81703685,209581,75009,53253,71.00,363,853750,610449,134,105336,472246,671142,2490521,3792,2722,-836,43,2803,1638,83614362,8597,1.76,2020
128350222,325797,127781,86708,67.90,370,1204618,909174,141,104464,703643,1063164,3432517,6390,4015,959,76,4156,2756,84680273,9539,1.7,2021
182225531,340069,201735,162665,80.60,394,1488626,1164627,156,113054,954708,1504158,4163142,14291,3735,2725,83,5653,6467,85279553,10659,1.62,2022
